Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,44,28.1,4.23,162,6334,5676,685,1468,302,31,130,647,62,41,519,1142,.259,.323,.391,.715,96,2222,160,43,50,43,51,1160
Atlanta Braves,44,26.8,4.25,162,6133,5441,688,1354,247,21,181,656,64,31,542,1384,.249,.321,.402,.723,99,2186,119,55,58,35,36,1132
Baltimore Orioles,52,27.8,4.60,162,6144,5620,745,1460,298,14,212,719,79,29,416,1125,.260,.313,.431,.744,101,2422,105,36,27,45,36,1053
Boston Red Sox,48,29.6,5.27,162,6382,5651,853,1566,363,29,178,819,123,19,581,1308,.277,.349,.446,.795,116,2521,137,72,24,50,51,1212
Chicago Cubs,56,27.9,3.72,162,6079,5498,602,1307,297,18,172,576,63,32,439,1230,.238,.300,.392,.693,89,2156,120,67,43,30,28,1092
Chicago White Sox,47,29.2,3.69,162,6077,5563,598,1385,237,19,148,574,105,42,411,1207,.249,.302,.378,.680,84,2104,124,34,19,48,23,1068
Cincinnati Reds,39,28.5,4.31,162,6293,5499,698,1370,274,20,155,664,67,35,585,1245,.249,.327,.391,.718,98,2149,129,76,85,46,65,1191
Cleveland Indians,49,28.6,4.60,162,6165,5465,745,1391,290,23,171,711,117,36,562,1283,.255,.327,.410,.737,107,2240,106,51,31,56,19,1126
Colorado Rockies,43,27.7,4.36,162,6152,5599,706,1511,283,36,159,673,112,32,427,1204,.270,.323,.418,.741,91,2343,111,26,65,35,26,1118
Detroit Tigers,39,30.0,4.91,162,6388,5735,796,1625,292,23,176,767,35,20,531,1073,.283,.346,.434,.780,111,2491,146,43,32,47,40,1250
Houston Astros,50,25.8,3.77,162,6020,5457,610,1307,266,16,148,566,110,61,426,1535,.240,.299,.375,.674,86,2049,110,52,46,38,17,1007
Kansas City Royals,43,26.9,4.00,162,6093,5549,648,1443,254,34,112,620,153,32,422,1048,.260,.315,.379,.694,89,2101,131,42,37,42,38,1110
Los Angeles Angels of Anaheim,49,27.8,4.52,162,6260,5588,733,1476,270,39,164,696,82,34,523,1221,.264,.329,.414,.743,110,2316,150,48,37,64,40,1144
Los Angeles Dodgers,49,30.6,4.01,162,6145,5491,649,1447,281,17,138,618,78,28,476,1146,.264,.326,.396,.722,103,2176,130,57,71,48,45,1175
Miami Marlins,53,27.7,3.17,162,6021,5449,513,1257,219,31,95,485,78,29,432,1232,.231,.293,.335,.627,73,1823,131,56,57,26,31,1080
Milwaukee Brewers,40,27.9,3.95,162,6064,5474,640,1381,238,43,157,610,142,50,407,1183,.252,.311,.398,.708,93,2176,116,71,77,35,22,1071
Minnesota Twins,44,28.2,3.79,162,6212,5564,614,1346,285,15,151,590,52,33,533,1430,.242,.312,.380,.692,90,2114,103,52,29,32,20,1206
New York Mets,53,28.3,3.82,162,6207,5559,619,1318,263,32,130,593,114,35,512,1384,.237,.306,.366,.672,91,2035,106,51,53,32,40,1137
New York Yankees,56,31.9,4.01,162,6045,5449,650,1321,247,24,144,614,115,31,466,1214,.242,.307,.376,.683,88,2048,121,57,36,36,33,1064
Oakland Athletics,44,28.3,4.73,162,6209,5521,767,1403,301,25,186,725,74,28,573,1178,.254,.327,.419,.745,107,2312,108,45,21,49,29,1126
Philadelphia Phillies,51,30.0,3.77,162,6014,5456,610,1355,255,32,140,578,73,29,417,1205,.248,.306,.384,.690,91,2094,131,53,57,31,41,1061
Pittsburgh Pirates,49,27.9,3.91,162,6135,5486,634,1346,273,35,161,603,94,42,469,1330,.245,.313,.396,.709,100,2172,120,88,62,29,41,1126
San Diego Padres,47,28.1,3.81,162,6122,5517,618,1349,246,26,146,578,118,34,467,1309,.245,.308,.378,.686,97,2085,99,52,52,34,36,1126
Seattle Mariners,47,28.7,3.85,162,6172,5558,624,1318,249,17,188,597,49,23,529,1353,.237,.306,.390,.695,98,2165,122,31,26,28,21,1131
San Francisco Giants,44,28.7,3.88,162,6168,5552,629,1446,280,35,107,596,67,26,469,1078,.260,.320,.381,.702,100,2117,131,39,66,42,40,1187
St. Louis Cardinals,44,28.7,4.83,162,6202,5557,783,1494,322,20,125,745,45,22,481,1110,.269,.332,.401,.733,102,2231,154,64,56,44,38,1087
Tampa Bay Rays,42,29.5,4.29,163,6242,5538,700,1421,296,23,165,670,73,38,589,1171,.257,.329,.408,.737,106,2258,140,36,24,55,31,1172
Texas Rangers,46,29.6,4.48,163,6196,5585,730,1465,262,23,176,691,149,46,462,1067,.262,.323,.412,.735,100,2301,124,61,45,42,26,1110
Toronto Blue Jays,53,28.9,4.40,162,6152,5537,712,1398,273,24,185,669,112,41,510,1123,.252,.318,.411,.729,99,2274,133,38,29,38,19,1065
Washington Nationals,44,27.7,4.05,162,6047,5436,656,1365,259,27,161,621,88,28,464,1192,.251,.313,.398,.710,94,2161,115,40,68,39,35,1071
