Tm	Fld	RA/G	DefEff	G	GS	CG	Inn	Ch	PO	A	E	DP	Fld%	Rtot	PLAYOFFS	YEAR
Arizona Diamondbacks	57	4.57	0.704	162	1458	1097	12870	5746	4290	1370	86	134	0.985	27	1	2022
Atlanta Braves	53	3.76	0.701	162	1458	1195	13032	5803	4344	1382	77	110	0.987	18	0	2022
Baltimore Orioles	57	4.25	0.69	162	1458	1121	12900	5920	4300	1529	91	151	0.985	8	1	2022
Boston Red Sox	53	4.86	0.683	162	1458	1105	12879	5825	4293	1447	85	134	0.985	0	1	2022
Chicago Cubs	64	4.51	0.697	162	1458	1086	12993	5880	4331	1453	96	139	0.984	0	0	2022
Chicago White Sox	44	4.43	0.688	162	1458	1093	13029	5738	4343	1293	102	122	0.982	-67	1	2022
Cincinnati Reds	65	5.03	0.689	162	1458	1095	12810	5647	4270	1296	81	115	0.986	-24	1	2022
Cleveland Guardians	50	3.91	0.709	162	1458	1131	13104	5908	4368	1443	97	127	0.984	51	0	2022
Colorado Rockies	43	5.39	0.673	162	1458	1128	12828	5968	4276	1592	100	154	0.983	-49	1	2022
Detroit Tigers	52	4.4	0.701	162	1458	1157	12777	5757	4259	1404	94	137	0.984	7	0	2022
Houston Astros	44	3.2	0.719	162	1458	1140	13008	5698	4336	1290	72	122	0.987	44	1	2022
Kansas City Royals	55	5	0.675	162	1458	1109	12744	5829	4248	1499	82	153	0.986	-21	1	2022
Los Angeles Angels	66	4.12	0.709	162	1458	1004	12921	5773	4307	1382	84	134	0.985	29	0	2022
Los Angeles Dodgers	51	3.17	0.729	162	1458	1135	13062	5788	4354	1351	83	120	0.986	74	0	2022
Miami Marlins	56	4.17	0.694	162	1458	1077	12936	5841	4312	1460	69	143	0.988	14	0	2022
Milwaukee Brewers	51	4.25	0.704	162	1458	1110	13014	5848	4338	1419	91	122	0.984	1	1	2022
Minnesota Twins	61	4.22	0.702	162	1458	1061	12933	5701	4311	1307	83	121	0.985	18	0	2022
New York Mets	59	3.74	0.692	162	1458	1103	12948	5742	4316	1359	67	128	0.988	-34	0	2022
New York Yankees	54	3.5	0.72	162	1458	1092	13065	5902	4355	1473	74	102	0.987	70	1	2022
Oakland Athletics	64	4.75	0.697	162	1458	1036	12837	5837	4279	1466	92	139	0.984	-45	0	2022
Philadelphia Phillies	56	4.23	0.687	162	1458	1104	12855	5770	4285	1416	69	129	0.988	-37	0	2022
Pittsburgh Pirates	68	5.04	0.677	162	1458	1060	12789	5891	4263	1507	121	152	0.979	-53	1	2022
San Diego Padres	55	4.07	0.705	162	1458	1081	12990	5768	4330	1362	76	116	0.987	-7	0	2022
Seattle Mariners	59	3.85	0.71	162	1458	1088	13023	5727	4341	1317	69	114	0.988	18	0	2022
San Francisco Giants	65	4.3	0.674	162	1458	870	12897	5945	4299	1546	100	130	0.983	-52	0	2022
St. Louis Cardinals	51	3.93	0.702	162	1458	1041	12921	6074	4307	1701	66	181	0.989	41	0	2022
Tampa Bay Rays	61	3.79	0.708	162	1458	1067	12921	5777	4307	1386	84	110	0.985	8	0	2022
Texas Rangers	55	4.59	0.693	162	1458	1137	12915	5929	4305	1528	96	143	0.984	-1	1	2022
Toronto Blue Jays	51	4.19	0.691	162	1458	1065	12972	5754	4324	1348	82	120	0.986	6	0	2022
Washington Nationals	54	5.28	0.687	162	1458	1163	12705	5749	4235	1410	104	126	0.982	-49	0	2022
Arizona Diamondbacks	64	5.51	0.685	162	1458	1030	12756	5726	4252	1374	100	113	0.983	-20	0	2021
Atlanta Braves	55	4.07	0.708	161	1449	1126	12696	5786	4232	1483	71	104	0.988	58	0	2021
Baltimore Orioles	62	5.9	0.683	162	1458	1093	12618	5639	4206	1359	74	101	0.987	-44	1	2021
Boston Red Sox	56	4.62	0.659	162	1458	1104	12771	5786	4257	1421	108	143	0.981	-68	1	2021
